dataset,method,train_ratio,num_real,num_synthetic,total_samples,accuracy
UCI_Indoor,Real_Only,0.01,10,0,10,0.77
UCI_Indoor,DiT_Augmented,0.01,10,992,1002,0.988
UCI_Indoor,GAN_Augmented,0.01,10,992,1002,0.894
UCI_Indoor,Kriging_Augmented,0.01,10,992,1002,0.885
UCI_Indoor,Real_Only,0.05,50,0,50,0.938
UCI_Indoor,DiT_Augmented,0.05,50,952,1002,0.987
UCI_Indoor,GAN_Augmented,0.05,50,952,1002,0.934
UCI_Indoor,Kriging_Augmented,0.05,50,952,1002,0.932
UCI_Indoor,Real_Only,0.1,100,0,100,0.953
UCI_Indoor,DiT_Augmented,0.1,100,900,1000,0.984
UCI_Indoor,GAN_Augmented,0.1,100,900,1000,0.959
UCI_Indoor,Kriging_Augmented,0.1,100,900,1000,0.946
UCI_Indoor,Real_Only,0.25,250,0,250,0.976
UCI_Indoor,DiT_Augmented,0.25,250,752,1002,0.991
UCI_Indoor,GAN_Augmented,0.25,250,752,1002,0.977
UCI_Indoor,Kriging_Augmented,0.25,250,752,1002,0.974
UCI_Indoor,Real_Only,0.5,500,0,500,0.983
UCI_Indoor,DiT_Augmented,0.5,500,500,1000,0.984
UCI_Indoor,GAN_Augmented,0.5,500,500,1000,0.985
UCI_Indoor,Kriging_Augmented,0.5,500,500,1000,0.985
UCI_Indoor,Real_Only,0.8,800,0,800,0.985
UCI_Indoor,DiT_Augmented,0.8,800,200,1000,0.983
UCI_Indoor,GAN_Augmented,0.8,800,200,1000,0.984
UCI_Indoor,Kriging_Augmented,0.8,800,200,1000,0.979
UCI_Indoor,Real_Only,1.0,1000,0,1000,0.987
UCI_Indoor,Oracle_100%,0.01,1000,0,1000,0.987
UCI_Indoor,Oracle_100%,0.05,1000,0,1000,0.987
UCI_Indoor,Oracle_100%,0.1,1000,0,1000,0.987
UCI_Indoor,Oracle_100%,0.25,1000,0,1000,0.987
UCI_Indoor,Oracle_100%,0.5,1000,0,1000,0.987
UCI_Indoor,Oracle_100%,0.8,1000,0,1000,0.987
UCI_Indoor,Oracle_100%,1.0,1000,0,1000,0.987
POWDER_Outdoor,Real_Only,0.01,33,0,33,0.37409200968523004
POWDER_Outdoor,DiT_Augmented,0.01,33,3264,3297,0.6234866828087167
POWDER_Outdoor,GAN_Augmented,0.01,33,3264,3297,0.38619854721549635
POWDER_Outdoor,Kriging_Augmented,0.01,33,2652,2685,0.34261501210653755
POWDER_Outdoor,Real_Only,0.05,165,0,165,0.6029055690072639
POWDER_Outdoor,DiT_Augmented,0.05,165,3136,3301,0.6610169491525424
POWDER_Outdoor,GAN_Augmented,0.05,165,3136,3301,0.6101694915254238
POWDER_Outdoor,Kriging_Augmented,0.05,165,2940,3105,0.5932203389830508
POWDER_Outdoor,Real_Only,0.1,330,0,330,0.7009685230024213
POWDER_Outdoor,DiT_Augmented,0.1,330,2976,3306,0.6949152542372882
POWDER_Outdoor,GAN_Augmented,0.1,330,2976,3306,0.7009685230024213
POWDER_Outdoor,Kriging_Augmented,0.1,330,2790,3120,0.6876513317191283
POWDER_Outdoor,Real_Only,0.25,825,0,825,0.7966101694915254
POWDER_Outdoor,DiT_Augmented,0.25,825,2480,3305,0.7578692493946732
POWDER_Outdoor,GAN_Augmented,0.25,825,2480,3305,0.7966101694915254
POWDER_Outdoor,Kriging_Augmented,0.25,825,2325,3150,0.774818401937046
POWDER_Outdoor,Real_Only,0.5,1650,0,1650,0.8087167070217918
POWDER_Outdoor,DiT_Augmented,0.5,1650,1648,3298,0.7978208232445521
POWDER_Outdoor,GAN_Augmented,0.5,1650,1648,3298,0.7990314769975787
POWDER_Outdoor,Kriging_Augmented,0.5,1650,1545,3195,0.8111380145278451
POWDER_Outdoor,Real_Only,0.8,2640,0,2640,0.8353510895883777
POWDER_Outdoor,DiT_Augmented,0.8,2640,656,3296,0.8244552058111381
POWDER_Outdoor,GAN_Augmented,0.8,2640,656,3296,0.837772397094431
POWDER_Outdoor,Kriging_Augmented,0.8,2640,615,3255,0.8087167070217918
POWDER_Outdoor,Real_Only,1.0,3301,0,3301,0.8184019370460048
POWDER_Outdoor,Oracle_100%,0.01,3301,0,3301,0.8184019370460048
POWDER_Outdoor,Oracle_100%,0.05,3301,0,3301,0.8184019370460048
POWDER_Outdoor,Oracle_100%,0.1,3301,0,3301,0.8184019370460048
POWDER_Outdoor,Oracle_100%,0.25,3301,0,3301,0.8184019370460048
POWDER_Outdoor,Oracle_100%,0.5,3301,0,3301,0.8184019370460048
POWDER_Outdoor,Oracle_100%,0.8,3301,0,3301,0.8184019370460048
POWDER_Outdoor,Oracle_100%,1.0,3301,0,3301,0.8184019370460048
